iter	MultiClass
0	1.358624389
1	1.333265979
2	1.30973615233	1.28802412
4	1.267442489
5	1.248450708
6	1.23081017
7	1.213762901
8	1.197521698
9	1.181814132
10	1.166939788
11	1.153120821
12	1.139667134
13	1.127672354
14	1.116038983
15	1.104597433
16	1.094135237
17	1.084301758118	1.075070617119	1.06555368
20	1.057037894
21	1.048797266
22	1.040737884
23	1.033105692
24	1.025780145
25	1.017761383
26	1.01056498
27	1.004766039
28	0.9981833331
29	0.9921055883
30	0.9860385488
31	0.9803125478
32	0.9748400531
33	0.9693478469334	0.9644876114335	0.9585918216
36	0.9532299678337	0.9484350788338	0.9445546717
39	0.9401322803
40	0.9354515889
41	0.9311729157
42	0.9271213536
43	0.923188115
44	0.919505564
45	0.9161339528
46	0.9125664426
47	0.9088461685
48	0.9050012116
49	0.9011685878
50	0.8974937507
51	0.8940499074
52	0.8908231625
53	0.8875412525
54	0.8842931859
55	0.8816984066
56	0.8782638529
57	0.8750307344
58	0.8720151596
59	0.869498879
60	0.8668218708
61	0.8640208885
62	0.8619818696
63	0.8599021909
64	0.8572677252
65	0.8546420977
66	0.8520767368
67	0.8498235174
68	0.8476754053
69	0.8452598268
70	0.8429687781
71	0.841014343
72	0.838984796
73	0.8367448044
74	0.8346125377
75	0.8327912076
76	0.8308370823
77	0.8293856517
78	0.8278022702
79	0.8261608016
80	0.8244717342
81	0.822617482
82	0.8210965719
83	0.8194916584
84	0.8180193599
85	0.8164037158
86	0.8150342674
87	0.8136734229
88	0.8121062702
89	0.810825131
90	0.8096294078
91	0.8080481092
92	0.8067272421
93	0.8053443054
94	0.8042122957
95	0.8031186915
96	0.8018961806
97	0.8008852956
98	0.7999625319
99	0.7987494109
100	0.7975169042
101	0.7961926695
102	0.7952631053
103	0.7943596935
104	0.7929480229
105	0.7921126861
106	0.7912629653
107	0.7899271642
108	0.7892731143
109	0.7885079341
110	0.7875004601
111	0.7864992114
112	0.7856654494
113	0.7846444673
114	0.7838703302
115	0.7828723463
116	0.7820289528
117	0.7811448628
118	0.7804140151
119	0.779349226
120	0.7784925149
121	0.7778289946
122	0.7770163331
123	0.7760473261
124	0.7752556909
125	0.7743814198
126	0.7736446885
127	0.772820145
128	0.7721134413
129	0.7713300621
130	0.7706317415
131	0.7698142191
132	0.7687153843
133	0.7678933401
134	0.7673358114
135	0.7665574251
136	0.7659798294
137	0.7654685975
138	0.7647436154
139	0.7640566675
140	0.7630223578
141	0.762213453
142	0.7612794539
143	0.7602922757
144	0.75960061
145	0.7590403513
146	0.7584812436
147	0.757743572
148	0.7571394503
149	0.7563801245
150	0.7556683538
151	0.7550130065
152	0.7541957066
153	0.7537043832
154	0.7528779176
155	0.7520955211
156	0.751468451
157	0.7510936827
158	0.7506549956
159	0.7500947766
160	0.7496036471
161	0.7490135303
162	0.7483940028
163	0.7475887928
164	0.7470473578
165	0.7465733405
166	0.7459396056
167	0.7453289264
168	0.7448098453
169	0.7440027
170	0.7434483582
171	0.7425783286
172	0.7420337583
173	0.7416341293
174	0.7411461239
175	0.7405236111
176	0.7401405498
177	0.7395492089
178	0.7388150081
179	0.7382791077
180	0.7378672202
181	0.737219861
182	0.736543813
183	0.7361261159
184	0.7355825897
185	0.7348939859
186	0.7344156879
187	0.7339461376
188	0.7335078065
189	0.7329431989
190	0.7325289079
191	0.7318699567
192	0.7314125738
193	0.7309748321
194	0.730543593
195	0.7300541071
196	0.7294587965
197	0.7289342417
198	0.7285025343
199	0.7279900894
200	0.727670934
201	0.7272622235
202	0.72664727
203	0.7260835084
204	0.7256244044
205	0.7251374082
206	0.7247958446
207	0.7242652574
208	0.7236873636
209	0.7233146167
210	0.7227879946
211	0.7224225108
212	0.7219363913
213	0.7213902693
214	0.7208730938
215	0.7202398625
216	0.7198432188
217	0.7192723558
218	0.718852804
219	0.7184829832
220	0.7182106675
221	0.7177364729
222	0.717368207
223	0.7170094744
224	0.7166152927
225	0.7160671155
226	0.7155092747
227	0.7151800622
228	0.714745586
229	0.7142483819
230	0.7137750929
231	0.7133003635
232	0.7129316105
233	0.7124893553
234	0.7120412569
235	0.7115626574
236	0.7110796577
237	0.7107257384
238	0.7102879369
239	0.7098139443
240	0.7094161095
241	0.7090211871
242	0.7085920091
243	0.7082684311
244	0.7080004577
245	0.707362263
246	0.7070313761
247	0.7066240227
248	0.7063596735
249	0.706000336
250	0.7055847196
251	0.7052957867
252	0.7050971528
253	0.7045587075
254	0.7041248993
255	0.7037273157
256	0.7032260735
257	0.7028417965
258	0.7023387917
259	0.701936245
260	0.7015810559
261	0.7012354578
262	0.7008845832
263	0.7004116022
264	0.699999194
265	0.6995348738
266	0.6991263005
267	0.698807106
268	0.698348063
269	0.6980761289
270	0.697642112
271	0.6972056094
272	0.6967132377
273	0.6963747369
274	0.6959467423
275	0.6955355221
276	0.6952046207
277	0.6948692955
278	0.694499789
279	0.6939924468
280	0.6936307635
281	0.6932357654
282	0.6928239797
283	0.6923916008
284	0.6921848528
285	0.6917728281
286	0.6914564549
287	0.6912185078
288	0.6908857913
289	0.6905585854
290	0.6903206804
291	0.6898402971
292	0.6893555363
293	0.6890076468
294	0.6886956564
295	0.6884287557
296	0.6882336564
297	0.6879764703
298	0.6876164154
299	0.6871794979
300	0.6867870232
301	0.6863301288
302	0.6860226967
303	0.6854842234
304	0.6851565461
305	0.6848720552
306	0.6845159489
307	0.6840879931
308	0.6836626116
309	0.6833456886
310	0.6830889274
311	0.6828089514
312	0.6824368396
313	0.6821542369
314	0.6819185251
315	0.6814416761
316	0.6809549157
317	0.680611598
318	0.6802707081
319	0.679942535
320	0.6797386041
321	0.6795329211
322	0.6791542558
323	0.6788808546
324	0.6784220661
325	0.6778464015
326	0.6774755396
327	0.6770755233
328	0.6767709748
329	0.6765185361
330	0.6762888002
331	0.6759792856
332	0.6757617588
333	0.6753152161
334	0.6750230061
335	0.6748010919
336	0.6743534581
337	0.6741484153
338	0.6738686423
339	0.6736358233
340	0.6733927262
341	0.6730914297
342	0.6728157177
343	0.672313395
344	0.6720282292
345	0.6717552089
346	0.6713911828
347	0.6711694068
348	0.6708537019
349	0.6705456314
350	0.670294622
351	0.6700035696
352	0.6696530606
353	0.6692817601
354	0.6689312985
355	0.6685321441
356	0.6682810299
357	0.6679850653
358	0.6675511932
359	0.6671010584
360	0.6668970604
361	0.6665316331
362	0.6663090934
363	0.6660603147
364	0.6659048859
365	0.6655306369
366	0.665269678
367	0.6649877201
368	0.6646113025
369	0.6642970162
370	0.664004171
371	0.6637827315
372	0.6634812383
373	0.6630651665
374	0.662820075
375	0.6625419326
376	0.6620936563
377	0.6618075555
378	0.6614257999
379	0.6611680111
380	0.660846536
381	0.6606218975
382	0.6603743571
383	0.6599918167
384	0.6596903771
385	0.6594136327
386	0.6590569852
387	0.6588388884
388	0.6584209909
389	0.658222556
390	0.6577761288
391	0.6575262561
392	0.6572878807
393	0.6570253892
394	0.6566463104
395	0.656332539
396	0.6559927816
397	0.6557375481
398	0.6554695439
399	0.655100581
400	0.6545681832
401	0.6543371711
402	0.6540743974
403	0.6538409493
404	0.6535584319
405	0.6532918095
406	0.6527822964
407	0.6525286473
408	0.6521268081
409	0.6518780196
410	0.651664355
411	0.6514342575
412	0.6512511858
413	0.6509949692
414	0.6505796816
415	0.650310009
416	0.650082814
417	0.6498949687
418	0418	0.647881419	0419	0.647531420	0420	0.6472651854
421	0.6469712059
422	0.646743141
423	0.6465801241
424	0.6462189078
425	0.645973005
426	0.6456573811
427	0.6454034092
428	0.6450437345
429	0.644744257
430	0.6443961898
431	0.6439607618
432	0.6434738872
433	0.6431765237
434	0.6428794666
435	0.6426706769
436	0.6423255859
437	0.6418883631
438	0.641620652
439	0.6411890608
440	0.6408634053
441	0.640628579
442	0.640252576
443	0.6399897375
444	0.6397415318
445	0.6394589042
446	0.6391256853
447	0.6388335116
448	0.6385797708
449	0.6382885205
450	0.6380375211
451	0.6377609204
452	0.6373572234
453	0.6370802927
454	0.6368163802
455	0.6365718744
456	0.6362755293
457	0.6360080095
458	0.6356301335
459	0.6352606009
460	0.6349948749
461	0.6348073693
462	0.6345497553
463	0.6342865508
464	0.6341161379
465	0.6337609345
466	0.6334800821
467	0.633164114
468	0.6328991867
469	0.6326010781
470	0.632392695
471	0.6321097283
472	0.6319003423
473	0.6316688508
474	0.6314950616
475	0.6312150343
476	0.6309686252
477	0.6306972862
478	0.6304168284
479	0.6300156565
480	0.6297589399
481	0.6295124218
482	0.6291035865
483	0.6288614844
484	0.628488933
485	0.6281542266
486	0.6279280309
487	0.627706336
488	0.6274862252
489	0.6272620338
490	0.626864387
491	0.6265871312
492	0.6263361476
493	0.6260816519
494	0.6258693526
495	0.6255984343
496	0.6252360743
497	0.6249149158
498	0.6246951665
499	0.6243654969
4441018
